Measure Names	Producto	No.	Fuente Tbl	Measure Values
Rendimiento (t/ha)	Banano	1	ESPAC	36.486348302
Producción (t)	Banano	1	ESPAC	1502098.48091502
Sup Cosechadas (ha)	Banano	1	ESPAC	41168.780950615
Sup Plantadas (ha)	Banano	1	ESPAC	42202.403987368
Rendimiento (t/ha)	Cacao	2	ESPAC	0.468050950
Producción (t)	Cacao	2	ESPAC	4208.989712829
Sup Cosechadas (ha)	Cacao	2	ESPAC	8992.588764515
Sup Plantadas (ha)	Cacao	2	ESPAC	9944.483055391
Rendimiento (t/ha)	Maíz duro seco	3	ESPAC	3.256456592
Producción (t)	Maíz duro seco	3	ESPAC	9914.966880108
Sup Cosechadas (ha)	Maíz duro seco	3	ESPAC	3044.710285138
Sup Plantadas (ha)	Maíz duro seco	3	ESPAC	3249.916284147
Rendimiento (t/ha)	Arroz	4	ESPAC	4.322446522
Producción (t)	Arroz	4	ESPAC	10205.211107741
Sup Cosechadas (ha)	Arroz	4	ESPAC	2360.980304988
Sup Plantadas (ha)	Arroz	4	ESPAC	2360.980304988
Rendimiento (t/ha)	Caña de azúcar para otros usos	5	ESPAC	10.059786098
Producción (t)	Caña de azúcar para otros usos	5	ESPAC	15182.211237357
Sup Cosechadas (ha)	Caña de azúcar para otros usos	5	ESPAC	1509.198216553
Sup Plantadas (ha)	Caña de azúcar para otros usos	5	ESPAC	1621.915573428
Rendimiento (t/ha)	Plátano	6	ESPAC	9.566178728
Producción (t)	Plátano	6	ESPAC	11155.985032387
Sup Cosechadas (ha)	Plátano	6	ESPAC	1166.190320092
Sup Plantadas (ha)	Plátano	6	ESPAC	1545.388279109
Rendimiento (t/ha)	Café	7	ESPAC	0.150558257
Producción (t)	Café	7	ESPAC	150.064615896
Sup Cosechadas (ha)	Café	7	ESPAC	996.721264762
Sup Plantadas (ha)	Café	7	ESPAC	1022.379344181
Rendimiento (t/ha)	Limón (Fruta fresca)	8	ESPAC	3.038289326
Producción (t)	Limón (Fruta fresca)	8	ESPAC	1819.205804659
Sup Cosechadas (ha)	Limón (Fruta fresca)	8	ESPAC	598.759897304
Sup Plantadas (ha)	Limón (Fruta fresca)	8	ESPAC	708.259671825
Rendimiento (t/ha)	Maíz suave seco	9	ESPAC	0.426922214
Producción (t)	Maíz suave seco	9	ESPAC	147.791154724
Sup Cosechadas (ha)	Maíz suave seco	9	ESPAC	346.178179640
Sup Plantadas (ha)	Maíz suave seco	9	ESPAC	358.517101660
Rendimiento (t/ha)	Naranja	10	ESPAC	2.624996955
Producción (t)	Naranja	10	ESPAC	860.526300633
Sup Cosechadas (ha)	Naranja	10	ESPAC	327.819923317
Sup Plantadas (ha)	Naranja	10	ESPAC	332.319923317
Rendimiento (t/ha)	Fréjol seco	11	ESPAC	0.184642791
Producción (t)	Fréjol seco	11	ESPAC	33.756394028
Sup Cosechadas (ha)	Fréjol seco	11	ESPAC	182.819994367
Sup Plantadas (ha)	Fréjol seco	11	ESPAC	207.378818685
